trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-130.96806884521772,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-208.39478446931335,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-124.6897239339962,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,0,-134.3343554557238,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-40.52889882354172,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-84.78278871632513,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-255.99558100913652,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-98.23349203524556,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-208.0057840848447,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-80.23903669402031,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-138.86749012031518,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",35,0,-223.55664591050132,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-149.40686533233668,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",35,0,-111.76374883923057,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-92.33742247534892,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-91.60148123484635,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-154.4216510557045,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-128.96011841807808,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-65.96179242056468,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-109.23386663354894,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-110.78151047115719,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-173.6001688692767,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-148.3547499064704,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",30,0,-131.1603887033373,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",35,0,-197.00770731842113,"{0: 21, 1: 1, 2: 10, 3: 0, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-55.67428223489454,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-192.81897871595334,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-141.0425379066287,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,16,-34.955704344443944,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",35,0,-80.15627465430573,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-63.761262007297894,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-79.42142199424934,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",30,0,-123.29023744048828,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,9,-98.81634130351459,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-12.978846046658278,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",30,0,-165.12077154449844,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-210.6660971973497,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
